"","word","freq"
"manageable","manageable",2
"media","media",2
"module","module",2
"nanyang","nanyang",2
"network","network",2
"nus","nus",2
"offer","offer",2
"opportunity","opportunity",2
"overseas","overseas",2
"paper","paper",2
"participate","participate",2
"person","person",2
"point","point",2
"practical","practical",2
"prepare","prepare",2
"publications","publications",2
"published","published",2
"quality","quality",2
"reason","reason",2
"registration","registration",2
"room","room",2
"run","run",2
"science","science",2
"slightly","slightly",2
"social","social",2
"specific","specific",2
"stay","stay",2
"stop","stop",2
"stress","stress",2
"stressful","stressful",2
"support","support",2
"system","system",2
"technological","technological",2
"thing","thing",2
"times","times",2
"tutorials","tutorials",2
"universities","universities",2
"week","week",2
"workload","workload",2
"ability","ability",1
"accessibility","accessibility",1
"accessible","accessible",1
"accommodate","accommodate",1
"accountable","accountable",1
"active","active",1
"added","added",1
"additional","additional",1
"addressed","addressed",1
"adm","adm",1
"admitted","admitted",1
"adviser","adviser",1
"allocated","allocated",1
"amenities","amenities",1
"apply","apply",1
"approachable","approachable",1
"arbitrarily","arbitrarily",1
"aren","aren",1
"array","array",1
"assed","assed",1
"assignments","assignments",1
"assistance","assistance",1
"assistants","assistants",1
"babershop","babershop",1
"back","back",1
"backgrounds","backgrounds",1
"bad","bad",1
"basis","basis",1
"basketball","basketball",1
"books","books",1
"brand","brand",1
"breaks","breaks",1
"bright","bright",1
"broadcast","broadcast",1
"build","build",1
"buildings","buildings",1
"bureaucratic","bureaucratic",1
"bursary","bursary",1
"bus","bus",1
"busy","busy",1
"call","call",1
"calls","calls",1
"camps","camps",1
"canteens","canteens",1
"cash","cash",1
"challenging","challenging",1
"chances","chances",1
"cheaper","cheaper",1
"chill","chill",1
"choice","choice",1
"chose","chose",1
"chosen","chosen",1
"classes","classes",1
"clouded","clouded",1
"club","club",1
"collection","collection",1
"colourful","colourful",1
"comfort","comfort",1
"command","command",1
"communication","communication",1
"company","company",1
"compared","compared",1
"computers","computers",1
"considered","considered",1
"consistent","consistent",1
"constant","constant",1
"content","content",1
"convenient","convenient",1
"core","core",1
"corner","corner",1
"countries","countries",1
"couple","couple",1
"courts","courts",1
"covered","covered",1
"covid","covid",1
"cow","cow",1
"cross","cross",1
"crowding","crowding",1
"deal","deal",1
"decent","decent",1
"decides","decides",1
"decision","decision",1
"dedicated","dedicated",1
"defined","defined",1
"delivery","delivery",1
"depends","depends",1
"design","design",1
"designed","designed",1
"determined","determined",1
"direction","direction",1
"dismal","dismal",1
"distance","distance",1
"distinct","distinct",1
"doctoral","doctoral",1
"doesn","doesn",1
"doubt","doubt",1
"downside","downside",1
"dynamic","dynamic",1
"ease","ease",1
"easier","easier",1
"easily","easily",1
"eat","eat",1
"economics","economics",1
"efficient","efficient",1
"electives","electives",1
"encounter","encounter",1
"encourage","encourage",1
"engage","engage",1
"enhance","enhance",1
"enlarge","enlarge",1
"enquiry","enquiry",1
"enter","enter",1
"equipped","equipped",1
"exercising","exercising",1
"exhausted","exhausted",1
"exhausting","exhausting",1
"expenses","expenses",1
"experienced","experienced",1
"exposed","exposed",1
"extra","extra",1
"extracurricular","extracurricular",1
"famous","famous",1
"fast","fast",1
"feckless","feckless",1
"fed","fed",1
"feedback","feedback",1
"fees","fees",1
"felt","felt",1
"finals","finals",1
"financial","financial",1
"finding","finding",1
"finish","finish",1
"firstly","firstly",1
"fit","fit",1
"freshmen","freshmen",1
"frustratingly","frustratingly",1
"fulfill","fulfill",1
"fully","fully",1
"gained","gained",1
"general","general",1
"give","give",1
"grades","grades",1
"graduates","graduates",1
"graduating","graduating",1
"grants","grants",1
"grateful","grateful",1
"groups","groups",1
"guarantees","guarantees",1
"gym","gym",1
"gyms","gyms",1
"half","half",1
"hall","hall",1
"hand","hand",1
"hang","hang",1
"hasn","hasn",1
"heavy","heavy",1
"higher","higher",1
"holisitic","holisitic",1
"home","home",1
"hope","hope",1
"hostel","hostel",1
"hss","hss",1
"ignore","ignore",1
"imo","imo",1
"important","important",1
"importantly","importantly",1
"improvement","improvement",1
"improvements","improvements",1
"incompetent","incompetent",1
"increase","increase",1
"incredibly","incredibly",1
"individual","individual",1
"inflexible","inflexible",1
"infrastructure","infrastructure",1
"initiated","initiated",1
"initiative","initiative",1
"inquiry","inquiry",1
"insight","insight",1
"inspiring","inspiring",1
"instructors","instructors",1
"instruments","instruments",1
"interact","interact",1
"interesting","interesting",1
"internal","internal",1
"internships","internships",1
"involving","involving",1
"island","island",1
"isolated","isolated",1
"issues","issues",1
"job","job",1
"kids","kids",1
"kinds","kinds",1
"knowledgeable","knowledgeable",1
"lack","lack",1
"lacklustre","lacklustre",1
"lag","lag",1
"languages","languages",1
"late","late",1
"learned","learned",1
"lecturers","lecturers",1
"lee","lee",1
"lessons","lessons",1
"limited","limited",1
"literally","literally",1
"live","live",1
"lively","lively",1
"living","living",1
"load","load",1
"loved","loved",1
"main","main",1
"majority","majority",1
"maker","maker",1
"making","making",1
"mall","mall",1
"management","management",1
"marital","marital",1
"marketing","marketing",1
"mathematics","mathematics",1
"mechanical","mechanical",1
"meet","meet",1
"meeting","meeting",1
"mentally","mentally",1
"met","met",1
"midterms","midterms",1
"mind","mind",1
"mine","mine",1
"missing","missing",1
"mixture","mixture",1
"morning","morning",1
"move","move",1
"mrt","mrt",1
"multi","multi",1
"multiple","multiple",1
"musical","musical",1
"nadministration","nadministration",1
"nam","nam",1
"napplication","napplication",1
"nat","nat",1
"nearby","nearby",1
"nearing","nearing",1
"negative","negative",1
"nexams","nexams",1
"nextremely","nextremely",1
"nfacilities","nfacilities",1
"nfor","nfor",1
"nice","nice",1
"nif","nif",1
"nlocation","nlocation",1
"nonetheless","nonetheless",1
"normal","normal",1
"note","note",1
"nother","nother",1
"notice","notice",1
"noting","noting",1
"nsince","nsince",1
"nteaching","nteaching",1
"ntheir","ntheir",1
"number","number",1
"obstacle","obstacle",1
"obtained","obtained",1
"offered","offered",1
"office","office",1
"online","online",1
"open","open",1
"organised","organised",1
"organizations","organizations",1
"organizing","organizing",1
"overhyped","overhyped",1
"overloaded","overloaded",1
"owned","owned",1
"pace","pace",1
"pages","pages",1
"pandemic","pandemic",1
"participating","participating",1
"passing","passing",1
"past","past",1
"peak","peak",1
"peaks","peaks",1
"perceived","perceived",1
"personal","personal",1
"physically","physically",1
"pioneer","pioneer",1
"platform","platform",1
"pleasant","pleasant",1
"pool","pool",1
"portal","portal",1
"potential","potential",1
"prepares","prepares",1
"price","price",1
"proactive","proactive",1
"problem","problem",1
"problems","problems",1
"process","process",1
"producer","producer",1
"proficient","proficient",1
"program","program",1
"programed","programed",1
"programs","programs",1
"project","project",1
"projects","projects",1
"propose","propose",1
"prospective","prospective",1
"prospects","prospects",1
"provide","provide",1
"provided","provided",1
"proximity","proximity",1
"pulls","pulls",1
"push","push",1
"puts","puts",1
"question","question",1
"queues","queues",1
"range","range",1
"ranked","ranked",1
"rankings","rankings",1
"rare","rare",1
"reach","reach",1
"reading","reading",1
"reasonable","reasonable",1
"recently","recently",1
"receptive","receptive",1
"recommended","recommended",1
"recorded","recorded",1
"red","red",1
"refresh","refresh",1
"regret","regret",1
"related","related",1
"release","release",1
"reloading","reloading",1
"rely","rely",1
"renowned","renowned",1
"replies","replies",1
"request","request",1
"require","require",1
"residences","residences",1
"resources","resources",1
"respond","respond",1
"rest","rest",1
"restaurants","restaurants",1
"result","result",1
"robust","robust",1
"rote","rote",1
"rounded","rounded",1
"rushing","rushing",1
"safe","safe",1
"salaries","salaries",1
"satisfied","satisfied",1
"schemes","schemes",1
"scholarship","scholarship",1
"schools","schools",1
"score","score",1
"semester","semester",1
"sending","sending",1
"shopping","shopping",1
"shops","shops",1
"short","short",1
"show","show",1
"side","side",1
"size","size",1
"slightest","slightest",1
"small","small",1
"sociable","sociable",1
"societies","societies",1
"society","society",1
"solely","solely",1
"solution","solution",1
"solving","solving",1
"south","south",1
"special","special",1
"specialized","specialized",1
"spectacular","spectacular",1
"spent","spent",1
"spirit","spirit",1
"spoon","spoon",1
"sports","sports",1
"stadium","stadium",1
"standard","standard",1
"started","started",1
"startup","startup",1
"state","state",1
"station","station",1
"staying","staying",1
"stores","stores",1
"straightforward","straightforward",1
"stressed","stressed",1
"structure","structure",1
"subjects","subjects",1
"sufficient","sufficient",1
"suggest","suggest",1
"supervisor","supervisor",1
"supportive","supportive",1
"swayed","swayed",1
"swimming","swimming",1
"syllabus","syllabus",1
"takeaway","takeaway",1
"takes","takes",1
"talented","talented",1
"talents","talents",1
"task","task",1
"taught","taught",1
"teach","teach",1
"technology","technology",1
"terrible","terrible",1
"terribly","terribly",1
"tests","tests",1
"textbook","textbook",1
"theoretical","theoretical",1
"theory","theory",1
"tough","tough",1
"town","town",1
"track","track",1
"train","train",1
"transferred","transferred",1
"transit","transit",1
"transportation","transportation",1
"travelling","travelling",1
"treasure","treasure",1
"undergraduate","undergraduate",1
"understanding","understanding",1
"unhelpful","unhelpful",1
"unions","unions",1
"updated","updated",1
"upgraded","upgraded",1
"upgrades","upgrades",1
"utmost","utmost",1
"varied","varied",1
"vast","vast",1
"vibe","vibe",1
"vibrant","vibrant",1
"view","view",1
"viewed","viewed",1
"vital","vital",1
"walk","walk",1
"walking","walking",1
"warm","warm",1
"website","website",1
"websites","websites",1
"weekly","weekly",1
"weight","weight",1
"wide","wide",1
"wise","wise",1
"wonderful","wonderful",1
"works","works",1
"world","world",1
"worry","worry",1
"worth","worth",1
"zone","zone",1
"zoom","zoom",1
