"","word","freq"
"schools","schools",1
"score","score",1
"seats","seats",1
"secondary","secondary",1
"secure","secure",1
"selection","selection",1
"send","send",1
"sep","sep",1
"service","service",1
"shaping","shaping",1
"singaporean","singaporean",1
"skills","skills",1
"slides","slides",1
"snacks","snacks",1
"socialise","socialise",1
"southwest","southwest",1
"spaces","spaces",1
"specialisations","specialisations",1
"specialise","specialise",1
"specifically","specifically",1
"spectrum","spectrum",1
"speed","speed",1
"spend","spend",1
"sporting","sporting",1
"spot","spot",1
"spots","spots",1
"staffs","staffs",1
"stand","stand",1
"standards","standards",1
"star","star",1
"state","state",1
"stimulating","stimulating",1
"strengths","strengths",1
"strict","strict",1
"strives","strives",1
"strong","strong",1
"stronger","stronger",1
"studies","studies",1
"sufficient","sufficient",1
"summer","summer",1
"support","support",1
"supportive","supportive",1
"tan","tan",1
"tap","tap",1
"taught","taught",1
"teacher","teacher",1
"teachers","teachers",1
"templates","templates",1
"tend","tend",1
"terms","terms",1
"tertiary","tertiary",1
"tests","tests",1
"tough","tough",1
"track","track",1
"transport","transport",1
"trends","trends",1
"tutors","tutors",1
"undeniable","undeniable",1
"undergrads","undergrads",1
"undergraduate","undergraduate",1
"unfair","unfair",1
"uni","uni",1
"uniform","uniform",1
"unintelligible","unintelligible",1
"update","update",1
"updated","updated",1
"upper","upper",1
"ups","ups",1
"useless","useless",1
"volunteer","volunteer",1
"west","west",1
"wide","wide",1
"wifi","wifi",1
"wiling","wiling",1
"willl","willl",1
"women","women",1
"won","won",1
"wonderful","wonderful",1
"workload","workload",1
"workplace","workplace",1
"worry","worry",1
"worst","worst",1
"year","year",1
"years","years",1
